rank,company_canonical,unresolved_contact_count,cumulative_contacts,cumulative_pct_of_unresolved,recruiter_count,talent_acquisition,hiring_managers,data_leaders,avg_priority_score,suggested_bucket,suggested_confidence,suggested_reason
168,WILSON SONS,2,435,18.1,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
169,HR PATH,2,437,18.2,0,0,0,0,32.5,,0.0,no usable signal yet — candidate for manual company mapping override
170,AMAXO,2,439,18.3,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
171,FORWARD,2,441,18.4,0,0,0,0,20.5,,0.0,no usable signal yet — candidate for manual company mapping override
172,BIO-RAD LABORATORIES,2,443,18.5,0,0,0,0,11.5,,0.0,no usable signal yet — candidate for manual company mapping override
173,BET365,2,445,18.6,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
174,ETTEPLAN,2,447,18.6,0,0,0,0,15.0,,0.0,no usable signal yet — candidate for manual company mapping override
175,DELAWARE INTERNATIONAL,2,449,18.7,0,0,0,0,26.0,,0.0,no usable signal yet — candidate for manual company mapping override
176,EMPIRIECOM,2,451,18.8,0,0,0,0,26.5,,0.0,no usable signal yet — candidate for manual company mapping override
177,A-PLAYERS,2,453,18.9,0,0,0,0,28.0,,0.0,no usable signal yet — candidate for manual company mapping override
178,A.P. MOLLER - MAERSK,2,455,19.0,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
179,ACTIEF PERSONALMANAGEMENT,2,457,19.1,0,0,0,0,10.0,,0.0,no usable signal yet — candidate for manual company mapping override
180,ALLO BANK,1,458,19.1,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
181,ALLSTATE,1,459,19.1,0,0,0,0,33.0,,0.0,no usable signal yet — candidate for manual company mapping override
182,ALMAPBBDO,1,460,19.2,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
183,ALMIRALL,1,461,19.2,0,0,0,0,35.0,,0.0,no usable signal yet — candidate for manual company mapping override
184,ALOFT HOTELS,1,462,19.3,0,0,0,0,40.0,,0.0,no usable signal yet — candidate for manual company mapping override
185,ALPARGATAS,1,463,19.3,0,0,0,0,11.0,,0.0,no usable signal yet — candidate for manual company mapping override
186,ALPHA ONLY KLG,1,464,19.3,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
187,ALPHALIT,1,465,19.4,0,0,0,0,29.0,,0.0,no usable signal yet — candidate for manual company mapping override
188,ALPHASKILL,1,466,19.4,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
189,ALTUS ENGINEERING,1,467,19.5,0,0,0,0,28.0,,0.0,no usable signal yet — candidate for manual company mapping override
190,ALUME,1,468,19.5,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
191,ALVOAR LÁCTEOS,1,469,19.6,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
192,AMSPEC,1,470,19.6,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
193,AMANDA FIGUEIRA RAMOS - PSICÓLOGA CRP 08/39236,1,471,19.6,0,0,0,0,15.0,,0.0,no usable signal yet — candidate for manual company mapping override
194,AMDOCS,1,472,19.7,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
195,AMEFRUITS,1,473,19.7,0,0,0,0,34.0,,0.0,no usable signal yet — candidate for manual company mapping override
196,AMENITIZ,1,474,19.8,0,0,0,0,28.0,,0.0,no usable signal yet — candidate for manual company mapping override
197,AMERICAN RED CROSS,1,475,19.8,0,0,0,0,23.0,,0.0,no usable signal yet — candidate for manual company mapping override
198,AMGEN,1,476,19.8,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
199,AMHERST,1,477,19.9,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
200,AMICAR,1,478,19.9,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
201,AMIGO CUIDA,1,479,20.0,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
202,AMIL,1,480,20.0,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
203,AMOREZA,1,481,20.1,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
204,AMORIX ALIMENTOS,1,482,20.1,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
205,ANALÍTICA SOLUÇÕES INOVADORAS,1,483,20.1,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
206,ANCAR,1,484,20.2,0,0,0,0,27.0,,0.0,no usable signal yet — candidate for manual company mapping override
207,ANHANGUERA EDUCACIONAL,1,485,20.2,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
208,"ANITEC - ASSOCIAÇÃO NACIONAL DE INOVAÇÃO, TRABALHO E EDUCAÇÃO CORPORATIVA",1,486,20.3,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
209,APEX MOBILITY,1,487,20.3,0,0,0,0,16.0,,0.0,no usable signal yet — candidate for manual company mapping override
210,APEX RESOURCES,1,488,20.4,0,0,0,0,15.0,,0.0,no usable signal yet — candidate for manual company mapping override
211,APPNATION,1,489,20.4,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
212,APPNING BY FORVIA,1,490,20.4,0,0,0,0,34.0,,0.0,no usable signal yet — candidate for manual company mapping override
213,APPZLOGIC,1,491,20.5,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
214,APSEN FARMACÊUTICA,1,492,20.5,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
215,APTAR,1,493,20.6,0,0,0,0,58.0,,0.0,no usable signal yet — candidate for manual company mapping override
216,APTER,1,494,20.6,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
217,APTITA,1,495,20.6,0,0,0,0,28.0,,0.0,no usable signal yet — candidate for manual company mapping override
218,ARCTOUCH,1,496,20.7,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
219,ARCADEA,1,497,20.7,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
220,ARCADIS,1,498,20.8,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
221,ARCHER DANIELS MIDLAND COMPANY,1,499,20.8,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
222,ARCHIE LABS,1,500,20.9,0,0,0,0,15.0,,0.0,no usable signal yet — candidate for manual company mapping override
223,ARCHIVE,1,501,20.9,0,0,0,0,23.0,,0.0,no usable signal yet — candidate for manual company mapping override
224,ARENA,1,502,20.9,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
225,ARIK TEKH,1,503,21.0,0,0,0,0,22.0,,0.0,no usable signal yet — candidate for manual company mapping override
226,ARISE YOUTH SUPPORT,1,504,21.0,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
227,ARKVALUE,1,505,21.1,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
228,ARMAJEVALE,1,506,21.1,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
229,ARMENIAN CODE ACADEMY,1,507,21.1,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
230,ARROW ELECTRONICS,1,508,21.2,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
231,ARROWS,1,509,21.2,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
232,ARVATO,1,510,21.3,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
233,ARVENDA,1,511,21.3,0,0,0,0,23.0,,0.0,no usable signal yet — candidate for manual company mapping override
234,ASCENTT,1,512,21.4,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
235,ASEGURADORA GENERAL,1,513,21.4,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
